Data/Witness Statement Txt/A. Bruce Steinwald Addressing Healthcare Workforce Issues for the Future 2-12-08.txt.txt,primary care,data dentists,medicine value,bureau noninstitutionalized,ac countability,pensions senate,gao analysis,performance outcomes,supply trends,cine creating
Data/Witness Statement Txt/Aghaegbuna Odelugo Hearing on Improving Efforts to Combat Health Care Fraud 3-2-11.txt.txt,fraudulent dm,corrupt physicians,aghaegbuna odelugo,services confidence,provide testimony,subcommittee oversight,implement medicare,billings experience,different companies,entry computer
Data/Witness Statement Txt/Al Redmer Hearing on Rising Health Insurance Premiums Under Obamacare 6-24-15.txt.txt,rates 2016,maryland health,proposed increases,premiums coverage,savers united,actuarial review,aca regulations,asa result,carefirst cfmi,small groups
Data/Witness Statement Txt/Alan Levine Making Health Care Work for American Families Designing a High Performing Healthcare System 3-10-09.txt.txt,health louisiana,secretary health,levine secretary,bienville building,medicaid optimize,florida operated,hospitals subcommittee,0629 phone,silo interacting,systems fail
Data/Witness Statement Txt/Alissa Fox Comprehensive Health Reform Discussion Draft Day 3 6-25-09.txt.txt,ofindependent bluecrossandblueshieldplans,havemadehealthcare reformanationalpriority,medicare shouldworkwiththeprivatesectorbebsastatement,housecommittees drafthealth,wouldbeexemptfromstatesolvency regulations,issueandcommunity ratingreformsinvoluntary,scssastronglysupported reauthorization,states houseofrepresentatives,inholdingthisimportant,andleadtosignificant reductions
Data/Witness Statement Txt/Allan H. Goroll Workforce Issues in Health Care Reform Assessing the Present and Preparing for the Future 3-12-09.txt.txt,massachusetts health,primary care,policymakers physician,performance healthcare,transformation medicare,healthcare costs,workforce growing,payment primary,access comprehensive,testimony senate
Data/Witness Statement Txt/Allan Korn Roundtable to Discuss Reforming America’s Health Care Delivery System 4-21-09.txt.txt,healthcare bcbsa,affordable care,insurance critical,policymakers helping,coverage blue,avoid complications,costs delivery,enact comprehensive,senate finance,claims data
Data/Witness Statement Txt/Amitabh Chandra Health Care Reform An Economic Perspective 11-19-08.txt.txt,healthcare reform,medicare spillovers,costly interventions,recession harvard,jaundiced economic,view spending,weaken federal,tradeoff healthy,proposing supplemental,chandra phd
Data/Witness Statement Txt/Andrew Dreyfus Covering the Uninsured Making Health Insurance Markets Work 9-23-08.txt.txt,healthcare blue,implementing massachusetts,funding medicaid,finance committee,commonwealth bcbsma,moderated reinsurance,access coverage,advocates quality,andrew dreyfus,cross plan
Data/Witness Statement Txt/Andrew L. Stern Health Care Reform An Economic Perspective 11-19-08.txt.txt,healthcare reform,unions insurance,coverage richest,chairman baucus,economy 2050,employees costs,committee hearing,stronger healthier,demanded seiu,insecurity americans
Data/Witness Statement Txt/Andrew Slavitt Hearing on the Status of the Affordable Care Act Implementation 9-10-14.txt.txt,open enrollment,improving healthcare,insurance marketplace,stakeholders cms,involvement affordable,medicare trustees,act implementation,plans best,docs erp_2014_chapter_4,andrew slavitt
Data/Witness Statement Txt/Andrew Weber Examining Innovative Approaches to Covering the Uninsured Through Employer-Provided Health Benefits 3-15-07.txt.txt,healthcare coalition,employers health,benefit plan,covering uninsured,statement national,employees value,population nbch,efficiency federal,webber president,describes cornerstones
Data/Witness Statement Txt/Arlene Holt Baker Rising Costs Low Quality in Health Care The Necessity for Reform 6-3-08.txt.txt,america healthcare,benefits count,afl cio,reform guarantee,issue bargaining,finance committee,coverage significant,hourly cost,increase taxable,average family
Data/Witness Statement Txt/Atul A. Gawande Making Health Care Work for American Families Designing a High Performing Healthcare System 3-10-09.txt.txt,complexity healthcare,clinicians nature,health rese,health costs,beneficial remedies,treatment decisions,000 diagnoses,systems innovations,research neglected,surger failures
Data/Witness Statement Txt/Avik Roy Hearing on the Delay of the Employer Mandate 7-10-13.txt.txt,obamacare employers,insurance mandate,implementation aca,subsidies offset,mandate delayed,health savings,congress repeal,limits benefits,unaffordable coverage,exchange plan
Data/Witness Statement Txt/Avik Roy Hearing on the Tax Treatment of Health Care 4-14-16.txt.txt,health tax,affordable healthcare,reform remarks,flaw healthcare,congressional budget,affordability american,democrats don,form coverage,testimony house,brady ranking
